noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 2, 0.812400,0.000100,1.000000,1.000000
brightness, 27, 0.810100,0.001000,0.750000,1.000000
brightness, 52, 0.777500,0.001000,0.500000,1.000000
brightness, 77, 0.807700,0.000100,0.500000,1.000000
brightness, 102, 0.816700,0.000100,0.250000,1.000000
contrast, 2, 0.351600,0.000100,2.000000,1.000000
contrast, 27, 0.404400,0.000010,0.750000,1.000000
contrast, 52, 0.491400,0.000010,0.500000,1.000000
contrast, 77, 0.534200,0.000010,0.250000,1.000000
contrast, 102, 0.570700,0.000010,0.500000,1.000000
defocus_blur, 2, 0.621400,0.001000,0.250000,1.000000
defocus_blur, 27, 0.647300,0.001000,0.500000,1.000000
defocus_blur, 52, 0.721800,0.000010,0.750000,1.000000
defocus_blur, 77, 0.728100,0.001000,0.250000,1.000000
defocus_blur, 102, 0.733100,0.001000,0.750000,1.000000
elastic_transform, 2, 0.719800,0.001000,2.000000,1.000000
elastic_transform, 27, 0.713200,0.001000,1.000000,1.000000
elastic_transform, 52, 0.681300,0.001000,0.250000,1.000000
elastic_transform, 77, 0.712300,0.001000,1.000000,1.000000
elastic_transform, 102, 0.731500,0.000100,0.750000,1.000000
fog, 2, 0.608400,0.000100,0.750000,1.000000
fog, 27, 0.618000,0.000100,0.500000,1.000000
fog, 52, 0.651500,0.000010,2.000000,1.000000
fog, 77, 0.649100,0.001000,0.750000,1.000000
fog, 102, 0.652600,0.001000,0.250000,1.000000
frost, 2, 0.735800,0.001000,1.000000,1.000000
frost, 27, 0.757400,0.000010,0.500000,1.000000
frost, 52, 0.727300,0.000100,0.250000,1.000000
frost, 77, 0.743600,0.001000,2.000000,1.000000
frost, 102, 0.759700,0.000100,0.750000,1.000000
gaussian_blur, 2, 0.633300,0.000010,1.000000,1.000000
gaussian_blur, 27, 0.655800,0.000010,0.250000,1.000000
gaussian_blur, 52, 0.686800,0.000100,0.250000,1.000000
gaussian_blur, 77, 0.719600,0.000010,2.000000,1.000000
gaussian_blur, 102, 0.745900,0.000100,0.750000,1.000000
gaussian_noise, 2, 0.726600,0.000010,0.500000,1.000000
gaussian_noise, 27, 0.734000,0.000010,0.500000,1.000000
gaussian_noise, 52, 0.720000,0.000010,0.250000,1.000000
gaussian_noise, 77, 0.734500,0.000010,1.000000,1.000000
gaussian_noise, 102, 0.734200,0.001000,0.750000,1.000000
glass_blur, 2, 0.607400,0.001000,0.750000,1.000000
glass_blur, 27, 0.624900,0.001000,0.500000,1.000000
glass_blur, 52, 0.632100,0.000100,0.750000,1.000000
glass_blur, 77, 0.643300,0.001000,1.000000,1.000000
glass_blur, 102, 0.642100,0.001000,0.750000,1.000000
impulse_noise, 2, 0.604500,0.001000,2.000000,1.000000
impulse_noise, 27, 0.609100,0.000010,0.750000,1.000000
impulse_noise, 52, 0.533900,0.001000,0.750000,1.000000
impulse_noise, 77, 0.623000,0.001000,1.000000,1.000000
impulse_noise, 102, 0.527900,0.010000,0.500000,1.000000
jpeg_compression, 2, 0.748000,0.001000,0.500000,1.000000
jpeg_compression, 27, 0.772900,0.001000,0.250000,1.000000
jpeg_compression, 52, 0.752600,0.000100,2.000000,1.000000
jpeg_compression, 77, 0.779800,0.000010,0.750000,1.000000
jpeg_compression, 102, 0.782800,0.000100,2.000000,1.000000
motion_blur, 2, 0.677100,0.001000,0.500000,1.000000
motion_blur, 27, 0.691600,0.000010,0.250000,1.000000
motion_blur, 52, 0.698700,0.000100,2.000000,1.000000
motion_blur, 77, 0.709600,0.001000,1.000000,1.000000
motion_blur, 102, 0.725300,0.000100,0.500000,1.000000
pixelate, 2, 0.767500,0.000010,2.000000,1.000000
pixelate, 27, 0.776800,0.000100,1.000000,1.000000
pixelate, 52, 0.739200,0.000010,0.250000,1.000000
pixelate, 77, 0.759100,0.000010,2.000000,1.000000
pixelate, 102, 0.774200,0.000100,0.500000,1.000000
saturate, 2, 0.781700,0.001000,0.500000,1.000000
saturate, 27, 0.800500,0.001000,0.750000,1.000000
saturate, 52, 0.777400,0.000100,0.500000,1.000000
saturate, 77, 0.781800,0.001000,2.000000,1.000000
saturate, 102, 0.803300,0.000100,2.000000,1.000000
shot_noise, 2, 0.704600,0.001000,1.000000,1.000000
shot_noise, 27, 0.717900,0.001000,1.000000,1.000000
shot_noise, 52, 0.697200,0.000100,0.250000,1.000000
shot_noise, 77, 0.739500,0.001000,0.250000,1.000000
shot_noise, 102, 0.655400,0.010000,2.000000,1.000000
snow, 2, 0.755700,0.001000,0.750000,1.000000
snow, 27, 0.764800,0.000100,1.000000,1.000000
snow, 52, 0.746700,0.000100,2.000000,1.000000
snow, 77, 0.748200,0.001000,0.500000,1.000000
snow, 102, 0.749700,0.001000,1.000000,1.000000
spatter, 2, 0.699100,0.000100,1.000000,1.000000
spatter, 27, 0.697000,0.000100,2.000000,1.000000
spatter, 52, 0.666100,0.000100,1.000000,1.000000
spatter, 77, 0.680900,0.001000,0.750000,1.000000
spatter, 102, 0.696800,0.001000,0.500000,1.000000
speckle_noise, 2, 0.713900,0.001000,1.000000,1.000000
speckle_noise, 27, 0.717300,0.001000,1.000000,1.000000
speckle_noise, 52, 0.616300,0.001000,0.500000,1.000000
speckle_noise, 77, 0.641600,0.001000,0.250000,1.000000
speckle_noise, 102, 0.713700,0.001000,1.000000,1.000000
zoom_blur, 2, 0.717900,0.000100,1.000000,1.000000
zoom_blur, 27, 0.724700,0.000100,2.000000,1.000000
zoom_blur, 52, 0.725500,0.000010,1.000000,1.000000
zoom_blur, 77, 0.753900,0.000010,2.000000,1.000000
zoom_blur, 102, 0.765400,0.000010,1.000000,1.000000
