noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.807200,0.000000,0.000000,0.000000
brightness, 1, 0.755300,0.001000,0.250000,10.000000
brightness, 2, 0.756100,0.010000,2.000000,10.000000
brightness, 4, 0.808100,0.010000,2.000000,10.000000
brightness, 6, 0.822100,0.010000,0.500000,10.000000
brightness, 8, 0.828300,0.010000,2.000000,10.000000
brightness, 10, 0.829300,0.010000,2.000000,10.000000
brightness, 12, 0.830400,0.010000,0.250000,10.000000
brightness, 14, 0.831100,0.010000,2.000000,10.000000
brightness, 16, 0.833100,0.010000,0.250000,10.000000
brightness, 18, 0.813000,0.001000,1.000000,10.000000
brightness, 20, 0.827500,0.001000,0.750000,10.000000
brightness, 22, 0.830900,0.001000,1.000000,10.000000
brightness, 24, 0.830400,0.001000,0.250000,10.000000
brightness, 26, 0.835000,0.001000,0.500000,10.000000
brightness, 28, 0.834700,0.001000,0.250000,10.000000
brightness, 30, 0.823000,0.010000,0.250000,10.000000
brightness, 32, 0.827400,0.010000,1.000000,10.000000
brightness, 34, 0.818300,0.001000,0.250000,10.000000
brightness, 36, 0.817300,0.001000,1.000000,10.000000
brightness, 38, 0.824400,0.001000,0.750000,10.000000
brightness, 40, 0.822400,0.001000,0.750000,10.000000
brightness, 42, 0.825500,0.001000,0.750000,10.000000
brightness, 44, 0.824800,0.001000,1.000000,10.000000
brightness, 46, 0.823800,0.001000,1.000000,10.000000
brightness, 48, 0.822400,0.001000,0.500000,10.000000
brightness, 50, 0.812200,0.001000,0.500000,10.000000
brightness, 52, 0.819700,0.001000,1.000000,10.000000
brightness, 54, 0.801200,0.010000,2.000000,10.000000
brightness, 56, 0.817400,0.001000,0.750000,10.000000
brightness, 58, 0.814800,0.001000,0.250000,10.000000
brightness, 60, 0.818500,0.001000,0.500000,10.000000
brightness, 62, 0.818400,0.001000,1.000000,10.000000
brightness, 64, 0.818100,0.001000,0.750000,10.000000
brightness, 66, 0.812000,0.001000,1.000000,10.000000
brightness, 68, 0.813200,0.001000,0.250000,10.000000
brightness, 70, 0.818400,0.001000,1.000000,10.000000
brightness, 72, 0.817100,0.001000,0.750000,10.000000
brightness, 74, 0.820600,0.001000,0.500000,10.000000
brightness, 76, 0.808600,0.010000,0.500000,10.000000
brightness, 78, 0.820300,0.001000,2.000000,10.000000
brightness, 80, 0.819800,0.001000,1.000000,10.000000
brightness, 82, 0.817800,0.001000,0.500000,10.000000
brightness, 84, 0.804400,0.010000,1.000000,10.000000
brightness, 86, 0.819700,0.001000,0.750000,10.000000
brightness, 88, 0.820800,0.001000,0.500000,10.000000
brightness, 90, 0.817300,0.001000,0.750000,10.000000
brightness, 92, 0.819700,0.001000,2.000000,10.000000
brightness, 94, 0.821000,0.001000,0.750000,10.000000
brightness, 96, 0.807000,0.010000,1.000000,10.000000
brightness, 98, 0.817100,0.001000,0.500000,10.000000
brightness, 100, 0.816200,0.001000,0.750000,10.000000
contrast, 0, 0.201100,0.000000,0.000000,0.000000
contrast, 1, 0.224500,0.001000,0.250000,10.000000
