noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.804700,0.000000,0.000000,0.000000
brightness, 5, 0.840500,0.000010,1.000000,10.000000
brightness, 100, 0.834200,0.000010,1.000000,10.000000
contrast, 0, 0.195400,0.000000,0.000000,0.000000
contrast, 5, 0.321300,0.000010,1.000000,10.000000
contrast, 100, 0.740900,0.000010,1.000000,10.000000
defocus_blur, 0, 0.521300,0.000000,0.000000,0.000000
defocus_blur, 5, 0.753200,0.000010,1.000000,10.000000
defocus_blur, 100, 0.814300,0.000010,1.000000,10.000000
elastic_transform, 0, 0.718200,0.000000,0.000000,0.000000
elastic_transform, 5, 0.708800,0.000010,1.000000,10.000000
elastic_transform, 100, 0.725400,0.000010,1.000000,10.000000
fog, 0, 0.501900,0.000000,0.000000,0.000000
fog, 5, 0.632200,0.000010,1.000000,10.000000
fog, 100, 0.738700,0.000010,1.000000,10.000000
frost, 0, 0.671200,0.000000,0.000000,0.000000
frost, 5, 0.751900,0.000010,1.000000,10.000000
frost, 100, 0.751300,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.576300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.716200,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.724500,0.000010,1.000000,10.000000
glass_blur, 0, 0.591800,0.000000,0.000000,0.000000
glass_blur, 5, 0.626000,0.000010,1.000000,10.000000
glass_blur, 100, 0.623700,0.000010,1.000000,10.000000
impulse_noise, 0, 0.362200,0.000000,0.000000,0.000000
impulse_noise, 5, 0.573100,0.000010,1.000000,10.000000
impulse_noise, 100, 0.600300,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.796400,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.794500,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.778300,0.000010,1.000000,10.000000
motion_blur, 0, 0.590000,0.000000,0.000000,0.000000
motion_blur, 5, 0.706400,0.000010,1.000000,10.000000
motion_blur, 100, 0.748300,0.000010,1.000000,10.000000
pixelate, 0, 0.662000,0.000000,0.000000,0.000000
pixelate, 5, 0.746700,0.000010,1.000000,10.000000
pixelate, 100, 0.759600,0.000010,1.000000,10.000000
shot_noise, 0, 0.605200,0.000000,0.000000,0.000000
shot_noise, 5, 0.730800,0.000010,1.000000,10.000000
shot_noise, 100, 0.742400,0.000010,1.000000,10.000000
snow, 0, 0.723500,0.000000,0.000000,0.000000
snow, 5, 0.763700,0.000010,1.000000,10.000000
snow, 100, 0.775300,0.000010,1.000000,10.000000
zoom_blur, 0, 0.588600,0.000000,0.000000,0.000000
zoom_blur, 5, 0.685200,0.000010,1.000000,10.000000
zoom_blur, 100, 0.782900,0.000010,1.000000,10.000000
